"Service Name","Retail Price","Duration","Extra Time","Tax","Description","Category Name","Treatment Type","Resource","Online Booking","Available For","Voucher Sales","Commissions","Service ID","SKU"
"BOTOX SPECIAL $10/unit( New Clients Only) - From","10.00","30m","","No tax"," Ryan Kent, FPA, APRN, FNP-C is accepting patients to administer botox for Hello Gorgeous for appointments pre booked before May 1st.   We will lock you in at this rate for 1 year if scheduled online now thru april 30th. We look forward to providing you the very best. Also if your interested in meeting ryan please feel free to book a free 15 minute consultation today","BOTOX","Anti-Wrinkle Injections","Not required","Enabled","Everyone","Enabled","Enabled","19769499",""
"VAMP SALMON DNA RED CARPET GLASS SKIN FACIAL W/ MICRONEEDLING/IPL PHOTOFACIAL/OR CHEMICAL PEEL","299.00","45m","","No tax","Uneven tone, dark spots, and a dull complexion can impact how your skin looks—and how confident you feel. VAMP Salmon DNA Treatment, often referred to as the “Glass Facial” in Korean skincare, offers a next-level approach to restoring a healthy, radiant glow. This topical solution features a sterile blend of polydeoxyribonucleotides (PDRN), amino acids, vitamins, and minerals to deeply nourish and revitalize the skin. At HELLO GORGEOUS MED SPA we exclusively provide VAMP treatments to help patients achieve smooth, hydrated, and revitalized skin. Whether you’re addressing fine lines, enlarged pores, or uneven skin tone, VAMP can help you achieve a brighter, healthier complexion.","Skin Spa","TUG Breast Reconstruction","Not required","Enabled","Everyone","Enabled","Enabled","20201749",""
"BABY TOX W/ MICRONEEDLING ","349.00","45m","","No tax","Ready to achieve a glowing, photo-finished face in a matter of days? Micro-Tox microneedling can dramatically improve the appearance of your skin in just a single session. This unique alternative to classic Botox injections and traditional microneedling takes skin tightening, lifting, and rejuvenation to a whole new level.

Rapid Treatment, Rapid Results. Micro-Tox treatments require only a few minutes to complete and deliver a noticeable difference within 24-48 hours.
Minimally Invasive and Safe. Like traditional microneedling and Botox injections, Micro-Tox treatments are minimally invasive and highly safe.
Instantly Hydrating. Micro-Tox treatments deliver deep hydration in minutes. Improve your complexion by enhancing your skin health on the cellular level.
Minimal Downtime and Discomfort. As with traditional Botox and microneedling, Micro-Tox treatments induce very little discomfort and require negligible downtime.
","Skin Spa","Facial","Not required","Enabled","Everyone","Enabled","Enabled","19876108",""
"PRP FACIAL (VAMPIRE FACIAL)","299.00","1h","","No tax","The process involves drawing the guest’s own blood and running it through a centrifuge to draw out the plasma. Next, the PRP is then either rubbed onto the surface of the face after a microneedling treatment or injected under the skin to begin the healing process.

Platelet-Rich Plasma (PRP) facials stimulate rapid skin rejuvenation to remove blemishes and signs of aging and naturally revitalize your face. Refresh your look as crow’s feet, scarring, and blemishes give way to a vibrant, healthy radiance.


Platelet-Rich Plasma (PRP) therapy is a minimally invasive and non-surgical treatment that uses your body’s own enriched cells to promote natural skin renewal.","Skin Spa","Vampire Facial","Not required","Enabled","Everyone","Enabled","Enabled","19687957",""
"Chemical Peel Facial ","80.00","45m","","No tax","Dermalogica offers a line of professional-grade chemical peels called Pro Power Peels — they are customizable, layered treatments that are gentler than traditional deep peels but still highly effective.

What is a Dermalogica Chemical Peel?
A Dermalogica chemical peel is a customizable skin resurfacing treatment that uses chemical exfoliants to:

Improve skin texture and tone

Brighten dull skin

Reduce fine lines

Fade hyperpigmentation

Clear breakouts

It focuses on being effective but skin-safe, minimizing downtime.

Types of Peels in the Dermalogica Line:
✅ Pro Power Peel 30 or 60
(30-minute or 60-minute customized treatments)

The formulas include:

Lactic Acid (brightens and hydrates)

Salicylic Acid (clears breakouts and oily skin)

Glycolic Acid (resurfaces and smooths fine lines)

Mandelic Acid (gentle for sensitive, redness-prone skin)

Often layered based on the client’s skin condition!

Treatment Experience:
Light tingling sensation

We also offer Skin Script RX, VI Peel","Skin Spa","Facial","Not required","Enabled","Everyone","Enabled","Enabled","17181397",""
"GLOW2FACIAL (GENEO)","99.00","1h","","No tax","The Geneo Glow2Facial is an advanced, non-invasive facial treatment designed to rejuvenate and oxygenate the skin, leaving it radiant and refreshed. It combines three technologies—exfoliation, oxygenation, and skin infusion—making it a popular choice for achieving a natural glow without downtime.
How the Glow2Facial Works
The treatment is based on a 3-in-1 approach:

Exfoliation:

A unique capsule creates gentle exfoliation to remove dead skin cells, similar to microdermabrasion.
This preps the skin to absorb essential nutrients during the next steps.
Oxygenation:

The treatment stimulates the body’s natural oxygen supply by creating a CO₂-rich environment on the skin. This triggers the ""Bohr effect,"" encouraging the skin to deliver oxygen-rich blood to the area, improving circulation.
Infusion of Active Ingredients:

The skin is infused with targeted serums (like hyaluronic acid, antioxidants, or vitamins) tailored to individual concerns such as fine lines, dullness, or acne.

","Skin Spa","Microneedling","Not required","Enabled","Everyone","Enabled","Enabled","16859488",""
"Photofacials (IPL)","169.00","30m","","No tax","An IPL Photofacial is a non-invasive skin treatment that uses Intense Pulsed Light (IPL) technology to improve the color, texture, and clarity of the skin.

It targets pigment and vascular irregularities without damaging the top layer of skin — meaning no downtime!
What IPL Photofacials Treat:
Brown spots (sun damage, freckles, age spots)

Redness (rosacea, broken capillaries, vascular lesions)

Uneven skin tone

Fine lines and large pores (mild improvement)

Acne-related redness
How It Works:
A handheld device delivers high-intensity pulses of broad-spectrum light into the skin.

The light penetrates the skin and is absorbed by pigment (melanin) and blood vessels without harming surrounding tissue.

The body naturally removes the treated pigment and broken vessels over the next 7–14 days.

Treatment Experience:
Feels like a small rubber band snap on the skin.

Takes about 20–45 minutes depending on the area.

No downtime (mild redness and darkening of spots are normal for a few days).","Skin Spa","IPL Treatment","Not required","Enabled","Everyone","Enabled","Enabled","12690608",""
"2 in 1 Hydra Pen Micro-channeling & Hydra facial","169.00","1h","","No tax","Microneedling and HydraFacial treatments can be done together or on the same day. The HydraFacial treats the skin from the outside in, while microneedling treats the skin from the inside out. When combined, these treatments can produce significant improvements in skin. 
The HydraFacial cleanses, exfoliates, and nourishes the skin. Microneedling stimulates the wound healing cycle, which encourages the growth of new tissue and collagen. This can help with acne scarring, enlarged pores, and fine lines. 
Your face will be glowing after this facial. No Downtime required. This is a Gem! ","Skin Spa","Facial","Not required","Enabled","Everyone","Enabled","Enabled","12702263",""
"Hydra Facial w/ Dermaplanning ","99.00","45m","","No tax","Experience the transformative power of our advanced skin treatment that combines cleansing, exfoliation, extraction, hydration, and antioxidant protection—all in one seamless session. With the Hydra Peel, enjoy clearer, more radiant skin without any discomfort or downtime. This non-invasive procedure utilizes serums rich in antioxidants, peptides, and hyaluronic acid, delivering instant results. Impurities are gently removed while nourishing solutions infuse your skin, effectively targeting fine lines, enlarged pores, oily or acne-prone skin, hyperpigmentation, and brown spots. Revel in rejuvenated skin as it extracts blackheads, reduces acne scars, and diminishes sun damage. Commonly treated areas include the face, neck, and décolleté. Embrace your skin’s beauty today!","Skin Spa","Facial","Not required","Enabled","Everyone","Enabled","Enabled","5574183",""
"High Frequency Acne Facial ","70.00","45m","","No tax","What Is A High Frequency Facial? The high frequency facial is used to treat and prevent stubborn acne, shrink enlarged pores, reduce the appearance of fine lines and wrinkles, decongest puffy eyes, fade dark eye circles and even rejuvenate the condition of the scalp and nourish hair follicles for healthier hair growth.
Facial includes double cleanse, extractions, hot towel treatment, steam w/ enzyme, high frequency, mask and vitamin c","Skin Spa","Acne Facial","Not required","Enabled","Everyone","Enabled","Enabled","8183033",""
" Platelet-Rich Fibrin (PRF) Injection for Hair Loss","398.00","1h","","No tax","Hair thinning? PRF Hair Restoration is here to help you regrow naturally — no surgery, no chemicals, just your body doing the work 💉✨
✅ Boosts hair growth
✅ Uses your own healing platelets
✅ Safe & all-natural

🧬 Say goodbye to hair loss and hello to confidence!
","PRP INJECTIONS","Hair Loss Treatment","Not required","Enabled","Everyone","Enabled","Enabled","19704876",""
"PRP TOPICAL  W/ MICRONEEDLING","249.00","1h","","No tax","A powerful skin-rejuvenating treatment where your own PRP (platelet-rich plasma) is microneedled into the skin to:

Boost collagen & elastin

Minimize fine lines & acne scars

Improve skin texture & glow

Reduce pore size and hyperpigmentation

","PRP INJECTIONS","Anti-Wrinkle Injections","Not required","Enabled","Everyone","Enabled","Enabled","19665289",""
"ONE JOINT( SINGLE SESSION)","299.00","1h","","No tax","A targeted platelet-rich plasma (PRP) injection to reduce inflammation, improve joint mobility, and promote natural healing. Perfect for addressing joint pain in areas such as the knee, shoulder, or hip.","PRP INJECTIONS","TUG Breast Reconstruction","Not required","Disabled","","Enabled","Enabled","19548210",""
"Korean Lash Lift New Now Available","125.00","1h","","No tax","Experience beautifully lifted, defined lashes that are conditioned from root to tip. 

You’ve likely noticed the soft, wide-eyed lash look trending everywhere. This is the Korean Lash Lift, and we at Hello Gorgeous Med Spa are proud to offer this innovative treatment to give you stunning results without the need for extensions or glue. Our gentle, keratin-rich technique enhances your natural lashes, providing a refined curl that is both healthier and more flexible than traditional methods.

Discover why everyone is making the switch: enjoy healthier lashes with conditioning formulas, a natural curl that adds a polished look, and a style that works effortlessly on stubborn lashes. Plus, you’ll love the convenience—skip the mascara and enjoy weeks of lasting beauty with minimal aftercare.","Lash Spa","Eyelash Extensions","Not required","Enabled","Everyone","Enabled","Enabled","24315419",""
" Full Set Eyelash Extensions - Classic Full Set","120.00","1h 30m","","No tax","Indulge in the essence of true beauty at Hello Gorgeous! Our meticulous lash extensions are handcrafted with love, offering you the opportunity to enhance the length and volume of your own lashes. Bid farewell to daily mascara or strip lash application with our lightweight and convenient extensions. Whether you choose a full set or a refill appointment, expect professional care that typically takes up to two hours for a full set and around an hour for refills. Most clients find fill appointments necessary every 3-4 weeks due to the natural shedding cycle of lashes.

Pre-Lash Appointment Tips:

Clean your lashes
Arrive on time
Avoid caffeine
Get ready to relax
Silence your phone

We understand that life can sometimes get hectic. If you anticipate being late for your appointment, please give us a call so we can accommodate and adjust the schedule accordingly.

In case you need to cancel your appointment, kindly provide us with 24hour notice to allow other guests to book during that time.","Lash Spa","Eyelash Extensions","Not required","Enabled","Everyone","Enabled","Enabled","5138218",""
" Full Set Eyelash Extensions - Hybrid Full Set","150.00","1h 30m","","No tax","Indulge in the essence of true beauty at Hello Gorgeous! Our meticulous lash extensions are handcrafted with love, offering you the opportunity to enhance the length and volume of your own lashes. Bid farewell to daily mascara or strip lash application with our lightweight and convenient extensions. Whether you choose a full set or a refill appointment, expect professional care that typically takes up to two hours for a full set and around an hour for refills. Most clients find fill appointments necessary every 3-4 weeks due to the natural shedding cycle of lashes.

Pre-Lash Appointment Tips:

Clean your lashes
Arrive on time
Avoid caffeine
Get ready to relax
Silence your phone

We understand that life can sometimes get hectic. If you anticipate being late for your appointment, please give us a call so we can accommodate and adjust the schedule accordingly.

In case you need to cancel your appointment, kindly provide us with 24hour notice to allow other guests to book during that time.","Lash Spa","Eyelash Extensions","Not required","Enabled","Everyone","Enabled","Enabled","5138218",""
" Full Set Eyelash Extensions - Volume Full Set ","175.00","2h","","No tax","Indulge in the essence of true beauty at Hello Gorgeous! Our meticulous lash extensions are handcrafted with love, offering you the opportunity to enhance the length and volume of your own lashes. Bid farewell to daily mascara or strip lash application with our lightweight and convenient extensions. Whether you choose a full set or a refill appointment, expect professional care that typically takes up to two hours for a full set and around an hour for refills. Most clients find fill appointments necessary every 3-4 weeks due to the natural shedding cycle of lashes.

Pre-Lash Appointment Tips:

Clean your lashes
Arrive on time
Avoid caffeine
Get ready to relax
Silence your phone

We understand that life can sometimes get hectic. If you anticipate being late for your appointment, please give us a call so we can accommodate and adjust the schedule accordingly.

In case you need to cancel your appointment, kindly provide us with 24hour notice to allow other guests to book during that time.","Lash Spa","Eyelash Extensions","Not required","Enabled","Everyone","Enabled","Enabled","5138218",""
"Lash Extensions - Mini Fill( w/ in 7 days )","35.00","30m","","No tax","Indulge in the essence of true beauty at Hello Gorgeous! Our meticulous lash extensions are handcrafted with love, offering you the opportunity to enhance the length and volume of your own lashes. Bid farewell to daily mascara or strip lash application with our lightweight and convenient extensions. Whether you choose a full set or a refill appointment, expect professional care that typically takes up to two hours for a full set and around an hour for refills. Most clients find fill appointments necessary every 3-4 weeks due to the natural shedding cycle of lashes.

Pre-Lash Appointment Tips:

Clean your lashes
Arrive on time
Avoid caffeine
Get ready to relax
Silence your phone

We understand that life can sometimes get hectic. If you anticipate being late for your appointment, please give us a call so we can accommodate and adjust the schedule accordingly.

In case you need to cancel your appointment, kindly provide us with 24-hour notice to allow other guests to book during that time","Lash Spa","Eyelash Extensions","Not required","Enabled","Everyone","Enabled","Enabled","14709806",""
"Lash Extensions - Hybrid Lash Fill","75.00","1h","","No tax","Indulge in the essence of true beauty at Hello Gorgeous! Our meticulous lash extensions are handcrafted with love, offering you the opportunity to enhance the length and volume of your own lashes. Bid farewell to daily mascara or strip lash application with our lightweight and convenient extensions. Whether you choose a full set or a refill appointment, expect professional care that typically takes up to two hours for a full set and around an hour for refills. Most clients find fill appointments necessary every 3-4 weeks due to the natural shedding cycle of lashes.

Pre-Lash Appointment Tips:

Clean your lashes
Arrive on time
Avoid caffeine
Get ready to relax
Silence your phone

We understand that life can sometimes get hectic. If you anticipate being late for your appointment, please give us a call so we can accommodate and adjust the schedule accordingly.

In case you need to cancel your appointment, kindly provide us with 24-hour notice to allow other guests to book during that time","Lash Spa","Eyelash Extensions","Not required","Enabled","Everyone","Enabled","Enabled","14709806",""
"Lash Extensions - New Client Fill","90.00","1h","","No tax","Indulge in the essence of true beauty at Hello Gorgeous! Our meticulous lash extensions are handcrafted with love, offering you the opportunity to enhance the length and volume of your own lashes. Bid farewell to daily mascara or strip lash application with our lightweight and convenient extensions. Whether you choose a full set or a refill appointment, expect professional care that typically takes up to two hours for a full set and around an hour for refills. Most clients find fill appointments necessary every 3-4 weeks due to the natural shedding cycle of lashes.

Pre-Lash Appointment Tips:

Clean your lashes
Arrive on time
Avoid caffeine
Get ready to relax
Silence your phone

We understand that life can sometimes get hectic. If you anticipate being late for your appointment, please give us a call so we can accommodate and adjust the schedule accordingly.

In case you need to cancel your appointment, kindly provide us with 24-hour notice to allow other guests to book during that time","Lash Spa","Eyelash Extensions","Not required","Enabled","Everyone","Enabled","Enabled","14709806",""
"Lash Extensions - Volume Lash Fill ","90.00","1h 15m","","No tax","Indulge in the essence of true beauty at Hello Gorgeous! Our meticulous lash extensions are handcrafted with love, offering you the opportunity to enhance the length and volume of your own lashes. Bid farewell to daily mascara or strip lash application with our lightweight and convenient extensions. Whether you choose a full set or a refill appointment, expect professional care that typically takes up to two hours for a full set and around an hour for refills. Most clients find fill appointments necessary every 3-4 weeks due to the natural shedding cycle of lashes.

Pre-Lash Appointment Tips:

Clean your lashes
Arrive on time
Avoid caffeine
Get ready to relax
Silence your phone

We understand that life can sometimes get hectic. If you anticipate being late for your appointment, please give us a call so we can accommodate and adjust the schedule accordingly.

In case you need to cancel your appointment, kindly provide us with 24-hour notice to allow other guests to book during that time","Lash Spa","Eyelash Extensions","Not required","Enabled","Everyone","Enabled","Enabled","14709806",""
"Lash Extensions - Lash & Grow Fill W/ Biotin Injection Shot","99.00","1h","","No tax","Indulge in the essence of true beauty at Hello Gorgeous! Our meticulous lash extensions are handcrafted with love, offering you the opportunity to enhance the length and volume of your own lashes. Bid farewell to daily mascara or strip lash application with our lightweight and convenient extensions. Whether you choose a full set or a refill appointment, expect professional care that typically takes up to two hours for a full set and around an hour for refills. Most clients find fill appointments necessary every 3-4 weeks due to the natural shedding cycle of lashes.

Pre-Lash Appointment Tips:

Clean your lashes
Arrive on time
Avoid caffeine
Get ready to relax
Silence your phone

We understand that life can sometimes get hectic. If you anticipate being late for your appointment, please give us a call so we can accommodate and adjust the schedule accordingly.

In case you need to cancel your appointment, kindly provide us with 24-hour notice to allow other guests to book during that time","Lash Spa","Eyelash Extensions","Not required","Enabled","Everyone","Enabled","Enabled","14709806",""
"Lash Lift  - Lash Lift - No Tint","69.00","45m","","No tax","","Lash Spa","Lash Lift","Not required","Enabled","Everyone","Enabled","Enabled","11911801",""
"Lash Lift  - Lash Lift - With Tint","75.00","1h","","No tax","","Lash Spa","Lash Lift","Not required","Enabled","Everyone","Enabled","Enabled","11911801",""
"Wax - Lip and Chin","10.00","10m","","No tax","","Brow Spa","Face Waxing","Not required","Disabled","","Enabled","Enabled","12979588",""
"Brow Shaping/Wax","20.00","15m","","No tax","","Brow Spa","Permanent Makeup","Not required","Enabled","Everyone","Enabled","Enabled","1666231",""
"Brow Henna Shaping & Wax","40.00","45m","","No tax","","Brow Spa","Henna Brows","Not required","Enabled","Everyone","Enabled","Enabled","5314247",""
"Brow Lamination with Wax & Shape - Without Tint","75.00","50m","","No tax","Brow Lamination is the process of perming the eyebrows so that they look fuller and straight.  Brow Lamination can be used to help thin eyebrows look fuller, make full eyebrows straighter, and unruly curly eyebrows straighter and more manageable. ","Brow Spa","Brow Lamination","Not required","Enabled","Everyone","Enabled","Enabled","12762799",""
"Brow Lamination with Wax & Shape - With Tint","85.00","1h","","No tax","Brow Lamination is the process of perming the eyebrows so that they look fuller and straight.  Brow Lamination can be used to help thin eyebrows look fuller, make full eyebrows straighter, and unruly curly eyebrows straighter and more manageable. ","Brow Spa","Brow Lamination","Not required","Enabled","Everyone","Enabled","Enabled","12762799",""
"Laser Hair Removal - Legs or Arms per session","149.00","30m","","No tax","3-6 sessions recommended for permanent results","Body Spa","Laser Hair Removal","Not required","Enabled","Everyone","Enabled","Enabled","16774915",""
"Laser Hair Removal - Underarm per session","79.00","15m","","No tax","3-6 sessions recommended for permanent results","Body Spa","Laser Hair Removal","Not required","Enabled","Everyone","Enabled","Enabled","16774835",""
"Laser Hair Removal - Upper Lip or Chin per session","59.00","15m","","No tax","3-6 sessions recommended for permanent results","Body Spa","Laser Hair Removal","Not required","Enabled","Everyone","Enabled","Enabled","12690149",""
"Laser Hair Removal - Bikini per session","79.00","15m","","No tax","3-6 sessions recommended for permanent results","Body Spa","Laser Hair Removal","Not required","Disabled","","Enabled","Enabled","16774820",""
"Laser Hair Removal - Brazilian per session","129.00","30m","","No tax","3-6 sessions recommended for permanent results","Body Spa","Laser Hair Removal","Not required","Enabled","Everyone","Enabled","Enabled","12690395",""
"Laser Hair Removal Consultation  - Laser Hair Consultation  - Free","0.00","30m","","No tax","Skin Type: We will go over the Fitzpatrick skin type classification and discuss contraindications of procedure and medical history.

Treatment Sessions: Multiple treatment sessions are typically required for optimal hair reduction, as the laser targets hair follicles in the anagen phase. The number of sessions depends on factors such as the patient's hair type, skin type, and treatment area.

Pre- and Post-Treatment Care: We will discuss proper patient education on pre- and post-treatment care which is essential for optimal treatment outcomes and minimizing potential side effects.

Put together a treatment plan to target your needs to achieve optimal results. 
","Body Spa","Laser Hair Removal","Not required","Enabled","Everyone","Enabled","Enabled","12690409",""
""
